招录机关名称    职位名称    职位编码    缴费人数
四川省监狱管理局信息保障中心    信息通信    29000001    184
四川省监狱管理局信息保障中心    金融财会    29000002    141
四川省监狱管理局罪犯出监就业培训指导站    综合研究    29000003    6
四川省监狱管理局罪犯出监就业培训指导站    行政管理    29000004    31
成都监狱    信息通信    29000005    29
成都监狱    罪犯教育管理（一）    29000006    34
成都监狱    罪犯教育管理（二）    29000007    4
成都监狱    心理矫正    29000008    9
成都病犯监狱    信息通信    29000009    18
成都病犯监狱    罪犯教育管理（一）    29000010    6
成都病犯监狱    罪犯教育管理（二）    29000011    7
成都病犯监狱    医学（狱医）    29000012    4
成都女子监狱    行政后勤管理    29000013    101
成都女子监狱    罪犯教育管理    29000014    29
成都女子监狱    心理矫正    29000015    20
成都未成年犯管教所    罪犯教育管理    29000016    9
成都未成年犯管教所    心理矫正    29000017    1
成都未成年犯管教所    医学（狱医）    29000018    6
崇州监狱    罪犯劳动管理    29000019    8
崇州监狱    罪犯教育管理（一）    29000020    3
崇州监狱    罪犯教育管理（二）    29000021    5
崇州监狱    心理矫正    29000022    8
崇州监狱    信息通信    29000023    14
川北监狱    罪犯教育管理    29000024    8
川北监狱    心理矫正    29000025    0
川北监狱    金融财会    29000026    42
川东监狱    信息通信    29000027    11
川东监狱    罪犯教育管理    29000028    6
川东监狱    金融财会    29000029    31
川西监狱    信息通信    29000030    12
川西监狱    罪犯教育管理    29000031    11
川中监狱    信息通信    29000032    5
川中监狱    罪犯教育管理（一）    29000033    23
川中监狱    罪犯教育管理（二）    29000034    111
川中监狱    罪犯教育管理（三）    29000035    3
达州监狱    罪犯教育管理    29000036    5
达州监狱    医学（狱医）    29000037    10
德阳监狱    信息通信    29000038    13
德阳监狱    罪犯教育管理    29000039    8
德阳监狱    医学（狱医）    29000040    2
广元监狱    信息通信    29000041    11
广元监狱    罪犯教育管理（一）    29000042    12
广元监狱    罪犯教育管理（二）    29000043    6
广元监狱    护理    29000044    9
广元监狱    心理矫正    29000045    4
汉王山监狱    罪犯教育管理    29000046    10
嘉陵监狱    信息通信    29000047    14
嘉陵监狱    罪犯教育管理    29000048    9
嘉陵监狱    金融财会    29000049    24
嘉州监狱    罪犯教育管理    29000050    3
锦江监狱    信息通信    29000051    14
锦江监狱    罪犯教育管理    29000052    13
金堂监狱    信息通信    29000053    6
金堂监狱    罪犯教育管理（一）    29000054    6
金堂监狱    罪犯教育管理（二）    29000055    4
金堂监狱    心理矫正    29000056    1
金堂监狱    护理    29000057    10
雷马屏监狱    信息通信    29000058    8
雷马屏监狱    罪犯教育管理（一）    29000059    0
雷马屏监狱    罪犯教育管理（二）    29000060    5
雷马屏监狱    罪犯教育管理（三）    29000061    3
雷马屏监狱    心理矫正    29000062    9
雷马屏监狱    罪犯劳动管理    29000063    23
凉山监狱    医学（狱医）    29000064    4
眉州监狱    信息通信    29000065    6
眉州监狱    罪犯教育管理    29000066    3
眉州监狱    罪犯劳动管理    29000067    30
绵阳监狱    信息通信    29000068    7
绵阳监狱    罪犯教育管理    29000069    5
绵阳监狱    心理矫正    29000070    1
内江监狱    罪犯教育管理    29000071    4
内江监狱    医学（狱医）    29000072    1
攀西监狱    信息通信    29000073    18
攀西监狱    罪犯教育管理    29000074    6
攀西监狱    行政管理    29000075    5
荞窝监狱    信息通信    29000076    14
荞窝监狱    罪犯教育管理（一）    29000077    14
荞窝监狱    罪犯教育管理（二）    29000078    10
荞窝监狱    罪犯教育管理（三）    29000079    47
荞窝监狱    金融财会    29000080    27
省女子监狱    外语及少数民族语言翻译    29000081    20
新源监狱    信息通信    29000082    1
新源监狱    罪犯教育管理    29000083    2
新源监狱    心理矫正    29000084    0
宜宾监狱    罪犯教育管理（一）    29000085    7
宜宾监狱    罪犯教育管理（二）    29000086    7
邑州监狱    信息通信    29000087    34
邑州监狱    罪犯教育管理（一）    29000088    4
邑州监狱    罪犯教育管理（二）    29000089    7
邑州监狱    行政后勤管理    29000090    23
邑州监狱    罪犯劳动管理    29000091    155
邑州监狱    心理矫正    29000092    26
自贡监狱    信息通信    29000093    16
自贡监狱    罪犯教育管理    29000094    7
自贡监狱    罪犯劳动管理    29000095    9
锦江区司法局    司法助理员（一）    31001001    23
锦江区司法局    司法助理员（二）    31001002    17
锦江区司法局    司法助理员（三）    31001003    67
武侯区司法局    司法助理员    31001004    205
彭州市司法局    司法助理员    31001005    31
自流井区司法局    司法助理员    31002006    73
贡井区司法局    司法助理员    31002007    27
沿滩区司法局    司法助理员    31002008    91
荣县司法局    司法助理员（一）    31002009    5
荣县司法局    司法助理员（二）    31002010    180
东区司法局    司法助理员    31003011    22
米易县司法局    司法助理员    31003012    0
合江县司法局    行政复议与应诉    31004013    3
叙永县司法局    行政管理    31004014    3
古蔺县司法局    司法助理员    31004015    0
绵竹市司法局    司法助理员    31005016    69
中江县司法局    合法性审查    31005017    0
中江县司法局    行政执法协调监督    31005018    0
中江县司法局    行政复议与应诉    31005019    0
中江县司法局    司法助理员    31005020    22
三台县司法局    司法助理员    31006021    24
剑阁县司法局    司法助理员    31007022    3
蓬溪县司法局    司法助理员    31008023    4
资中县司法局    行政管理    31009024    8
资中县司法局    司法助理员    31009025    2
市中区司法局    行政管理    31010026    1
五通桥区司法局    司法助理员    31010027    8
犍为县司法局    行政管理    31010028    62
沐川县司法局    金融财会    31010029    58
沐川县司法局    行政管理（一）    31010030    7
沐川县司法局    行政管理（二）    31010031    7
沐川县司法局    司法助理员    31010032    12
马边县司法局    司法助理员    31010033    1
阆中市司法局    司法助理员    31011034    37
仪陇县司法局    司法助理员    31011035    63
西充县司法局    司法助理员（一）    31011036    5
西充县司法局    司法助理员（二）    31011037    1
通川区司法局    合法性审查    31012041    0
通川区司法局    司法助理员    31012042    6
渠县司法局    司法助理员    31012043    2
开江县司法局    司法助理员    31012044    36
南江县司法局    司法助理员    31013045    4
平昌县司法局    金融财会    31013046    9
平昌县司法局    司法助理员    31013047    3
武胜县司法局    司法助理员    31014040    14
高县司法局    司法助理员    31015038    8
兴文县司法局    司法助理员    31015039    47
名山区司法局    金融财会    31016048    47
会东县司法局    行政管理    31019050    1
宁南县司法局    司法助理员    31019051    19
会理县司法局    司法助理员    31019052    1
昭觉县司法局    行政管理    31019053    6
甘洛县司法局    行政管理    31019054    9
甘洛县司法局    行政管理    31019055    0
雷波县司法局    行政管理    31019056    82
盐源县司法局    行政管理    31019057    2
美姑县司法局    行政管理    31019058    2
金阳县司法局    司法助理员    31019059    4
喜德县司法局    司法助理员    31019060    3
木里县司法局    行政管理    31019061    13
冕宁县司法局    司法助理员    31019062    30
冕宁县司法局    司法助理员    31019063    13
安岳县司法局    政府法制岗位    31023049    0
四川省高级人民法院    法官助理（一）    33000001    59
四川省高级人民法院    法官助理（二）    33000002    24
四川省高级人民法院    司法行政人员（档案管理）    33000003    5
成都市中级人民法院    法官助理（一）    33001004    12
成都市中级人民法院    法官助理（二）    33001005    19
成都市中级人民法院    法官助理（三）    33001006    16
成都市中级人民法院    司法警察    33001007    52
成都市中级人民法院    司法行政人员    33001008    31
成都市中级人民法院    司法行政人员（统计）    33001009    43
成都市中级人民法院    司法行政人员（宣传）    33001010    64
四川天府新区成都片区人民法院（四川自由贸易试验区人民法院）    法官助理    33001011    44
四川天府新区成都片区人民法院（四川自由贸易试验区人民法院）    司法警察    33001012    17
四川天府新区成都片区人民法院（四川自由贸易试验区人民法院）    司法行政人员（计算机）    33001013    66
成都市武侯区人民法院    法官助理    33001014    78
成都市武侯区人民法院    司法行政人员（会计）    33001015    506
成都市成华区人民法院    法官助理    33001016    4
成都市龙泉驿区人民法院    法官助理    33001017    18
成都市龙泉驿区人民法院    司法行政人员    33001018    11
成都市新都区人民法院    法官助理    33001019    58
成都市新都区人民法院    司法行政人员    33001020    65
成都市郫都区人民法院    法官助理    33001021    4
成都市郫都区人民法院    司法警察    33001022    10
简阳市人民法院    法官助理    33001023    56
都江堰市人民法院    法官助理    33001024    63
都江堰市人民法院    司法行政人员    33001025    2
都江堰市人民法院    司法警察    33001026    10
彭州市人民法院    司法行政人员（计算机）    33001027    144
彭州市人民法院    司法警察（一）    33001028    8
彭州市人民法院    司法警察（二）    33001029    12
邛崃市人民法院    法官助理    33001030    0
崇州市人民法院    司法警察    33001031    102
金堂县人民法院    法官助理    33001032    37
自贡市中级人民法院    法官助理    33002033    23
自贡市中级人民法院    司法行政人员（档案管理）    33002034    9
自贡市自流井区人民法院    司法行政人员    33002035    20
自贡市贡井区人民法院    法官助理    33002036    0
自贡市沿滩区人民法院    法官助理    33002037    2
自贡市沿滩区人民法院    司法行政人员（宣传）    33002038    6
荣县人民法院    法官助理    33002039    0
富顺县人民法院    法官助理    33002040    4
攀枝花市中级人民法院    法官助理    33003041    3
攀枝花市西区人民法院    司法行政人员    33003042    20
米易县人民法院    法官助理    33003043    4
米易县人民法院    司法行政人员（会计）    33003044    17
盐边县人民法院    法官助理    33003045    0
泸州市中级人民法院    司法警察（一）    33004046    8
泸州市中级人民法院    司法警察（二）    33004047    19
泸州市龙马潭区人民法院    法官助理    33004048    4
泸州市纳溪区人民法院    司法警察    33004049    10
泸县人民法院    法官助理    33004050    4
泸县人民法院    司法警察    33004051    18
